word,inaugurals_pretrump,inaugurals_trump
shall,0.00571437733234,0.00013098434737
peace,0.00467643889283,0.00013098434737
constitution,0.00394272378903,0.00013098434737
duty,0.00388903731802,0.00013098434737
war,0.00369218692432,0.00013098434737
union,0.00349533653062,0.00013098434737
state,0.00292268083985,0.00013098434737
principle,0.00290478534952,0.00013098434737
know,0.00288688985918,0.00013098434737
purpose,0.00256477103313,0.00013098434737
high,0.00254687554279,0.00013098434737
liberty,0.00254687554279,0.00013098434737
congress,0.00245739809111,0.00013098434737
need,0.00229633867808,0.00013098434737
place,0.00224265220707,0.00013098434737
policy,0.00217107024572,0.00013098434737
support,0.00217107024572,0.00013098434737
force,0.00213527926505,0.00013098434737
political,0.00202790632303,0.00013098434737
secure,0.00202790632303,0.00013098434737
question,0.00193842887135,0.00013098434737
present,0.00192053338101,0.00013098434737
believe,0.00188474240034,0.00013098434737
service,0.00188474240034,0.00013098434737
law,0.00492697575754,0.00177572118948
public,0.00419326065374,0.00177572118948
government,0.0117630530661,0.00506519487369
freedom,0.00354902300163,0.00177572118948
free,0.00353112751129,0.00177572118948
good,0.00580385478402,0.00342045803158
hope,0.00286899436885,0.00177572118948
fellow,0.00281530789784,0.00177572118948
states,0.00541015399662,0.00342045803158
work,0.00274372593649,0.00177572118948
spirit,0.00265424848481,0.00177572118948
justice,0.00258266652346,0.00177572118948
time,0.0049090802672,0.00342045803158
man,0.00458696144114,0.00342045803158
united,0.00351323202096,0.00342045803158
year,0.00320900868524,0.00342045803158
power,0.0060901826294,0.00670993171579
national,0.00294057633019,0.00342045803158
great,0.00779025421136,0.0099994054
citizen,0.00514172164157,0.00670993171579
people,0.0111367109043,0.0149336159263
come,0.00235002514909,0.00342045803158
party,0.00233212965875,0.00342045803158
life,0.00337006809827,0.00506519487369
world,0.00610807811974,0.0099994054
seek,0.00202790632303,0.00342045803158
long,0.00199211534236,0.00342045803158
let,0.00283320338817,0.00506519487369
right,0.00460485693148,0.0083546685579
way,0.00183105592933,0.00342045803158
land,0.00175947396799,0.00342045803158
nation,0.00888187912189,0.0182230896105
home,0.00165210102597,0.00342045803158
old,0.00158051906462,0.00342045803158
new,0.00453327497013,0.0099994054
action,0.00149104161294,0.00342045803158
strength,0.00149104161294,0.00342045803158
day,0.00217107024572,0.00506519487369
live,0.00143735514193,0.00342045803158
look,0.00134787769025,0.00342045803158
foreign,0.00193842887135,0.00506519487369
control,0.00125840023857,0.00342045803158
bear,0.00124050474823,0.00342045803158
earth,0.00120471376756,0.00342045803158
exist,0.00113313180621,0.00342045803158
oath,0.00111523631587,0.00342045803158
country,0.00626913753277,0.0198678264526
face,0.00106154984487,0.00342045803158
god,0.00199211534236,0.00670993171579
share,0.000989967883519,0.00342045803158
success,0.000972072393183,0.00342045803158
destiny,0.000900490431837,0.00342045803158
follow,0.000864699451164,0.00342045803158
child,0.0012762957289,0.00506519487369
like,0.00120471376756,0.00506519487369
remember,0.000793117489819,0.00342045803158
small,0.000793117489819,0.00342045803158
challenge,0.000775221999482,0.00342045803158
defend,0.000757326509146,0.00342045803158
today,0.00184895141967,0.0083546685579
president,0.00179526494866,0.0083546685579
woman,0.000721535528473,0.00342045803158
military,0.000703640038136,0.00342045803158
americans,0.00136577318058,0.00670993171579
bring,0.00131208670958,0.00670993171579
unite,0.000667849057464,0.00342045803158
heart,0.00129419121924,0.00670993171579
industry,0.00093628141251,0.00506519487369
safe,0.000632058076791,0.00342045803158
bless,0.000632058076791,0.00342045803158
moment,0.000864699451164,0.00506519487369
belong,0.000578371605781,0.00342045803158
leave,0.00113313180621,0.00670993171579
million,0.000846803960828,0.00506519487369
family,0.000811012980155,0.00506519487369
longer,0.000542580625108,0.00342045803158
washington,0.000524685134772,0.00342045803158
thank,0.000524685134772,0.00342045803158
american,0.00288688985918,0.0198678264526
triumph,0.000470998663763,0.00342045803158
fight,0.000470998663763,0.00342045803158
hear,0.000470998663763,0.00342045803158
protect,0.00136577318058,0.0099994054
ocean,0.000453103173426,0.00342045803158
america,0.00372797790499,0.0297362475053
-PRON-,0.000828908470491,0.00670993171579
capital,0.000596267096118,0.00506519487369
tell,0.000399416702417,0.00342045803158
celebrate,0.000399416702417,0.00342045803158
stop,0.000381521212081,0.00342045803158
wealth,0.000721535528473,0.00670993171579
victory,0.000363625721744,0.00342045803158
city,0.000488894154099,0.00506519487369
forget,0.000488894154099,0.00506519487369
dream,0.000739431018809,0.0099994054
factory,0.000345730231408,0.00506519487369
transfer,0.000327834741071,0.00506519487369
border,0.000292043760398,0.00506519487369
job,0.000363625721744,0.0083546685579
steal,0.00013098434737,0.00342045803158
obama,0.00013098434737,0.00506519487369
